Cấp quản lý,Chi tiết,Ca,Time,Volume,%Gán,%LTC,%Đóng kiện,%LC,Leadtime,Sản Lượng Lấy Thành Công,Sản Lượng Gán,Sản Lượng Chưa Gán,% Chưa Gán,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-14 - Thứ 6,41,100.00%,90.24%,85.37%,90.24%,9.54,37,41,0,0.00%,41,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-24 - Thứ 2,42,100.00%,90.48%,83.33%,90.48%,7.8,38,42,0,0.00%,42,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-15 - Thứ 7,42,100.00%,92.86%,88.10%,92.86%,7.81,39,42,0,0.00%,42,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-25 - Thứ 3,42,97.62%,85.71%,78.57%,73.81%,9.12,36,41,1,2.38%,42,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-04 - Thứ 3,42,100.00%,90.48%,83.33%,90.48%,8.17,38,42,0,0.00%,42,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-10 - Thứ 2,45,100.00%,97.78%,88.89%,97.78%,7.23,44,45,0,0.00%,45,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-20 - Thứ 5,46,100.00%,76.09%,58.70%,69.57%,4.96,35,46,0,0.00%,46,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-19 - Thứ 4,48,100.00%,91.67%,79.17%,91.67%,8.18,44,48,0,0.00%,48,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-11 - Thứ 3,49,100.00%,95.92%,91.84%,95.92%,6.31,47,49,0,0.00%,49,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Mới Ca 1,2026-08-08 - Thứ 7,54,100.00%,68.52%,57.41%,68.52%,5.37,37,54,0,0.00%,54,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-06 - Thứ 5,58,100.00%,96.55%,87.93%,94.83%,32.65,56,58,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-28 - Thứ 6,4,100.00%,50.00%,50.00%,50.00%,19.5,2,4,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-04 - Thứ 3,4,100.00%,75.00%,50.00%,75.00%,74.5,3,4,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-27 - Thứ 5,5,100.00%,60.00%,40.00%,60.00%,41.5,3,5,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-12 - Thứ 4,5,100.00%,60.00%,40.00%,60.00%,56,3,5,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-11 - Thứ 3,5,100.00%,60.00%,20.00%,20.00%,75,3,5,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-05 - Thứ 4,5,100.00%,20.00%,0.00%,0.00%,,1,5,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-07 - Thứ 6,6,100.00%,50.00%,50.00%,33.33%,23.33,3,6,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-30 - Chủ Nhật,6,100.00%,33.33%,33.33%,33.33%,32.5,2,6,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-25 - Thứ 3,6,100.00%,66.67%,66.67%,66.67%,32.25,4,6,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-24 - Thứ 2,7,100.00%,42.86%,42.86%,42.86%,38.33,3,7,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-29 - Thứ 7,8,100.00%,75.00%,62.50%,75.00%,31.6,6,8,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-18 - Thứ 3,8,100.00%,37.50%,25.00%,37.50%,33,3,8,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-16 - Chủ Nhật,8,100.00%,12.50%,12.50%,12.50%,94,1,8,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-23 - Chủ Nhật,10,100.00%,70.00%,60.00%,70.00%,40,7,10,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-20 - Thứ 5,11,100.00%,45.45%,27.27%,36.36%,34,5,11,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-19 - Thứ 4,12,100.00%,58.33%,50.00%,50.00%,29,7,12,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-13 - Thứ 5,13,100.00%,61.54%,53.85%,61.54%,22,8,13,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-26 - Thứ 4,13,100.00%,76.92%,76.92%,46.15%,17.8,10,13,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-03 - Thứ 2,13,100.00%,76.92%,76.92%,76.92%,37.5,10,13,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-22 - Thứ 7,14,100.00%,64.29%,50.00%,64.29%,46.86,9,14,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-14 - Thứ 6,14,100.00%,35.71%,28.57%,35.71%,35.5,5,14,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-10 - Thứ 2,15,100.00%,80.00%,73.33%,66.67%,42.18,12,15,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-17 - Thứ 2,15,100.00%,66.67%,66.67%,66.67%,39.3,10,15,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-08 - Thứ 7,15,100.00%,80.00%,66.67%,53.33%,29.6,12,15,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-15 - Thứ 7,16,100.00%,43.75%,18.75%,43.75%,44.67,7,16,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-21 - Thứ 6,20,100.00%,70.00%,65.00%,70.00%,35.85,14,20,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Cam Lâm 2,Hàng Tồn,2026-08-09 - Chủ Nhật,22,100.00%,68.18%,68.18%,63.64%,38.13,15,22,0,0.00%,0,Khánh Hòa,NTB,AM Long
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-10 - Thứ 2,85,100.00%,95.29%,91.76%,89.41%,7.72,81,85,0,0.00%,85,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-27 - Thứ 5,136,99.26%,97.06%,95.59%,97.06%,12.89,132,135,1,0.74%,136,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-24 - Thứ 2,122,99.18%,97.54%,95.08%,97.54%,10.54,119,121,1,0.82%,122,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-07 - Thứ 6,77,100.00%,98.70%,97.40%,97.40%,4,76,77,0,0.00%,77,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-12 - Thứ 4,113,100.00%,81.42%,73.45%,77.88%,6.02,92,113,0,0.00%,113,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-15 - Thứ 7,122,100.00%,97.54%,94.26%,96.72%,8.28,119,122,0,0.00%,122,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-29 - Thứ 7,137,99.27%,97.08%,92.70%,92.70%,9.94,133,136,1,0.73%,137,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-09 - Chủ Nhật,69,100.00%,95.65%,89.86%,94.20%,5.35,66,69,0,0.00%,69,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-20 - Thứ 5,76,100.00%,98.68%,94.74%,97.37%,6.54,75,76,0,0.00%,76,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-05 - Thứ 4,92,100.00%,100.00%,94.57%,97.83%,5.61,92,92,0,0.00%,92,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-17 - Thứ 2,91,100.00%,96.70%,94.51%,93.41%,5.64,88,91,0,0.00%,91,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-21 - Thứ 6,101,100.00%,98.02%,95.05%,97.03%,10.28,99,101,0,0.00%,101,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-23 - Chủ Nhật,94,100.00%,78.72%,74.47%,74.47%,3.64,74,94,0,0.00%,94,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-19 - Thứ 4,89,100.00%,97.75%,88.76%,97.75%,7.14,87,89,0,0.00%,89,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-03 - Thứ 2,115,100.00%,98.26%,95.65%,97.39%,5.47,113,115,0,0.00%,115,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-13 - Thứ 5,101,100.00%,94.06%,89.11%,93.07%,5.57,95,101,0,0.00%,101,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-26 - Thứ 4,107,100.00%,99.07%,96.26%,95.33%,12.13,106,107,0,0.00%,107,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-25 - Thứ 3,152,99.34%,98.68%,96.05%,98.68%,13.84,150,151,1,0.66%,152,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-28 - Thứ 6,207,100.00%,99.52%,97.58%,99.03%,17.14,206,207,0,0.00%,207,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-04 - Thứ 3,80,100.00%,96.25%,92.50%,96.25%,6.16,77,80,0,0.00%,80,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-08 - Thứ 7,85,100.00%,97.65%,90.59%,94.12%,6.79,83,85,0,0.00%,85,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-11 - Thứ 3,70,98.57%,72.86%,64.29%,72.86%,5.56,51,69,1,1.43%,70,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-18 - Thứ 3,71,100.00%,98.59%,91.55%,97.18%,6.29,70,71,0,0.00%,71,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-14 - Thứ 6,67,100.00%,95.52%,94.03%,94.03%,6.4,64,67,0,0.00%,67,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-06 - Thứ 5,68,100.00%,97.06%,95.59%,97.06%,6.52,66,68,0,0.00%,68,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-22 - Thứ 7,112,100.00%,96.43%,77.68%,81.25%,10.47,108,112,0,0.00%,112,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-16 - Chủ Nhật,52,100.00%,100.00%,90.38%,98.08%,3.85,52,52,0,0.00%,52,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Mới Ca 1,2026-08-30 - Chủ Nhật,49,100.00%,93.88%,87.76%,93.88%,4.23,46,49,0,0.00%,49,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-19 - Thứ 4,3,100.00%,33.33%,33.33%,33.33%,25,1,3,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-26 - Thứ 4,3,100.00%,100.00%,100.00%,100.00%,29.67,3,3,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-20 - Thứ 5,4,100.00%,75.00%,75.00%,75.00%,33,3,4,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-21 - Thứ 6,4,100.00%,75.00%,50.00%,50.00%,12.5,3,4,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-25 - Thứ 3,4,100.00%,100.00%,100.00%,75.00%,30.5,4,4,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-08 - Thứ 7,4,100.00%,100.00%,50.00%,50.00%,23.5,4,4,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-05 - Thứ 4,4,100.00%,100.00%,75.00%,75.00%,21,4,4,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-22 - Thứ 7,5,100.00%,80.00%,80.00%,60.00%,21.5,4,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-27 - Thứ 5,5,100.00%,80.00%,60.00%,60.00%,13.33,4,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-07 - Thứ 6,5,100.00%,80.00%,20.00%,80.00%,24,4,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-17 - Thứ 2,5,100.00%,80.00%,80.00%,80.00%,53.5,4,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-28 - Thứ 6,5,100.00%,60.00%,40.00%,20.00%,29.5,3,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-06 - Thứ 5,5,100.00%,100.00%,60.00%,40.00%,6.33,5,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-04 - Thứ 3,5,100.00%,100.00%,100.00%,60.00%,18,5,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-29 - Thứ 7,6,100.00%,100.00%,100.00%,100.00%,41.67,6,6,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-03 - Thứ 2,6,100.00%,83.33%,83.33%,50.00%,18.5,5,6,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-16 - Chủ Nhật,6,100.00%,33.33%,33.33%,16.67%,13,2,6,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-10 - Thứ 2,7,100.00%,100.00%,71.43%,85.71%,17.6,7,7,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-18 - Thứ 3,7,100.00%,85.71%,85.71%,71.43%,25.17,6,7,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-14 - Thứ 6,9,100.00%,77.78%,77.78%,55.56%,22,7,9,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-15 - Thứ 7,10,100.00%,80.00%,70.00%,60.00%,19.29,8,10,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-09 - Chủ Nhật,10,100.00%,90.00%,60.00%,80.00%,24.83,9,10,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-30 - Chủ Nhật,11,100.00%,90.91%,81.82%,63.64%,21,10,11,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-11 - Thứ 3,11,100.00%,100.00%,81.82%,81.82%,26.78,11,11,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-12 - Thứ 4,20,100.00%,95.00%,90.00%,95.00%,24.22,19,20,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-23 - Chủ Nhật,23,100.00%,95.65%,95.65%,91.30%,25,22,23,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-13 - Thứ 5,23,100.00%,95.65%,95.65%,91.30%,25.27,22,23,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 1,Hàng Tồn,2026-08-24 - Thứ 2,24,100.00%,91.67%,91.67%,87.50%,23.68,22,24,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-22 - Thứ 7,186,100.00%,98.39%,96.77%,98.39%,9.38,183,186,0,0.00%,186,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-10 - Thứ 2,184,100.00%,92.93%,92.93%,92.93%,5.84,171,184,0,0.00%,184,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-27 - Thứ 5,150,99.33%,86.67%,86.00%,86.67%,6.28,130,149,1,0.67%,150,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-24 - Thứ 2,167,100.00%,97.01%,96.41%,96.41%,6.89,162,167,0,0.00%,167,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-07 - Thứ 6,139,100.00%,97.12%,94.96%,96.40%,6.55,135,139,0,0.00%,139,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-12 - Thứ 4,194,100.00%,96.39%,96.39%,95.88%,6.66,187,194,0,0.00%,194,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-15 - Thứ 7,158,100.00%,96.84%,95.57%,95.57%,8.5,153,158,0,0.00%,158,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-29 - Thứ 7,154,100.00%,98.70%,98.05%,98.05%,6.81,152,154,0,0.00%,154,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-09 - Chủ Nhật,110,100.00%,95.45%,92.73%,94.55%,6.58,105,110,0,0.00%,110,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-20 - Thứ 5,191,100.00%,96.86%,95.81%,96.34%,6.76,185,191,0,0.00%,191,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-05 - Thứ 4,177,100.00%,97.18%,95.48%,97.18%,6.25,172,177,0,0.00%,177,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-17 - Thứ 2,159,100.00%,95.60%,94.97%,95.60%,6.56,152,159,0,0.00%,159,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-21 - Thứ 6,151,100.00%,96.69%,94.70%,96.69%,5.95,146,151,0,0.00%,151,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-23 - Chủ Nhật,115,100.00%,94.78%,93.91%,94.78%,4.36,109,115,0,0.00%,115,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-30 - Chủ Nhật,110,99.09%,93.64%,91.82%,93.64%,6.97,103,109,1,0.91%,110,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-19 - Thứ 4,177,100.00%,97.74%,96.61%,96.05%,5.47,173,177,0,0.00%,177,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-03 - Thứ 2,140,100.00%,95.00%,95.00%,92.86%,6.79,133,140,0,0.00%,140,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-13 - Thứ 5,148,100.00%,96.62%,93.92%,95.95%,5.76,143,148,0,0.00%,148,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-26 - Thứ 4,154,100.00%,98.05%,98.05%,97.40%,5.45,151,154,0,0.00%,154,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-25 - Thứ 3,172,100.00%,97.67%,97.67%,97.67%,6.16,168,172,0,0.00%,172,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-28 - Thứ 6,160,100.00%,98.13%,96.25%,98.13%,5.6,157,160,0,0.00%,160,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-04 - Thứ 3,200,100.00%,70.50%,70.00%,70.00%,6.99,141,200,0,0.00%,200,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-08 - Thứ 7,137,100.00%,89.78%,89.05%,89.78%,6.22,123,137,0,0.00%,137,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-11 - Thứ 3,246,100.00%,87.80%,86.99%,87.80%,5.71,216,246,0,0.00%,246,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-18 - Thứ 3,130,99.23%,85.38%,83.85%,85.38%,6.07,111,129,1,0.77%,130,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-14 - Thứ 6,186,100.00%,95.16%,95.16%,94.62%,5.53,177,186,0,0.00%,186,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-16 - Chủ Nhật,70,84.29%,80.00%,78.57%,80.00%,6.29,56,59,11,15.71%,70,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Mới Ca 1,2026-08-06 - Thứ 5,134,100.00%,87.31%,86.57%,87.31%,7.61,117,134,0,0.00%,134,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Tồn,2026-08-05 - Thứ 4,61,100.00%,37.70%,37.70%,37.70%,29.35,23,61,0,0.00%,0,Khánh Hòa,NTB,AM Phi
NTB - Khánh Hòa,(KHO) Diên Khánh 2,Hàng Tồn,2026-08-26 - Thứ 4,5,100.00%,40.00%,40.00%,0.00%,29.5,2,5,0,0.00%,0,Khánh Hòa,NTB,AM Phi
