hen_lay,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-07-24,NTB,Lâm Đồng,Huyện Đức Trọng,Xã Ninh Loan,20849000,(LDO) Ninh Gia,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Phúc Thọ,22425000,(LDO) Tân Hà Lâm Hà,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đức Minh,2309,(DNO) Đức Lập,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Di Linh,Xã Bảo Thuận,20942000,(LDO) Di Linh,SME,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vạn Thạnh,2049500000.00%,(KHO) Nha Trang,SME,>50kg,1
2026-07-24,NTB,Đắk Nông,Thành phố Gia Nghĩa,Xã Đăk R'Moan,2224200000.00%,(DNO) Bắc Gia Nghĩa,SME,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện đảo Phú Quý,Xã Tam Thanh,2245200000.00%,(BTH) Phú Quý,SME,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Cư Jút,Xã Đắk Wil,2067300000.00%,(DNO) Cư Jút,Khác,>50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Tân,2279300000.00%,(KHO) Diên Thọ,SME,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Phường Ninh Diêm,2156900000.00%,(KHO) Đông Ninh Hòa,SME,>50kg,2
2026-07-24,NTB,Lâm Đồng,Huyện Đơn Dương,Thị trấn D'Ran,2137700000.00%,(LDO) Đơn Dương,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Đắk Ru,2239400000.00%,(DNO) Quảng Tín,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Bảo Lâm,Xã Lộc Thành,2301500000.00%,(LDO) Bảo Lâm 3,SME,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Xã Ninh Bình,2054300000.00%,(KHO) Ninh Hòa 2,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Di Linh,Xã Tam Bố,2094200000.00%,(LDO) Di Linh,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Hà Lâm,189600.00%,(LDO) Đạ Huoai,SME,>50kg,3
2026-07-24,NTB,Bình Thuận,Huyện Đức Linh,Xã Đa Kai,2145600000.00%,(BTH) Đức Linh,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Bắc Bình,Xã Sông Bình,2293400000.00%,(BTH) Lương Sơn,SME,>50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Cư Jút,Thị trấn Ea T'Ling,2067300000.00%,(DNO) Cư Jút,SME,>50kg,6
2026-07-24,NTB,Bình Thuận,Thành phố Phan Thiết,Phường Bình Hưng,2132000000.00%,(BTH) Phú Thủy,SME,>50kg,1
2026-07-24,NTB,Bình Thuận,Huyện đảo Phú Quý,Xã Ngũ Phụng,2245200000.00%,(BTH) Phú Quý,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Nam Hà,2145800000.00%,(LDO) Nam Ban Lâm Hà,SME,>50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đơn Dương,Xã Tu Tra,2137700000.00%,(LDO) Đơn Dương,Shopee-Bulky,>50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Xã Ninh Ích,2054300000.00%,(KHO) Ninh Hòa 2,SME,>50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Khánh Vĩnh,Xã Khánh Trung,2055800000.00%,(KHO) Khánh Vĩnh,Shopee-Bulky,>50kg,2
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Đan Phượng,2242500000.00%,(LDO) Tân Hà Lâm Hà,SME,>50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Cam Lâm,Xã Cam An Nam,2058800000.00%,(KHO) Cam Lâm 2,SME,>50kg,2
