ngay_tao_don,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Lao,2309,(DNO) Đức Lập,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đức Minh,2309,(DNO) Đức Lập,SHOPEE Bulky,2. 20-30kg,2
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Thị trấn Đắk Mil,2309,(DNO) Đức Lập,SHOPEE Bulky,2. 20-30kg,2
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Thuận An,2309,(DNO) Đức Lập,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Sắk,2309,(DNO) Đức Lập,SHOPEE Bulky,2. 20-30kg,3
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Thị trấn Đắk Mil,2309,(DNO) Đức Lập,SME,2. 20-30kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Thị trấn Đắk Mil,2309,(DNO) Đức Lập,SHOPEE Bulky,3. 30-50kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đức Minh,230900.00%,(DNO) Đức Lập,TTS Bulky,3. 30-50kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Lao,230900.00%,(DNO) Đức Lập,SHOPEE Bulky,4. >50kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk Mil,Thị trấn Đắk Mil,230900.00%,(DNO) Đức Lập,SHOPEE Bulky,4. >50kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đồng Kho,235700.00%,(BTH) Đồng Kho,SME,1. 10-20kg,3
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Nghị Đức,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,3
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Huy Khiêm,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Bắc Ruộng,235700.00%,(BTH) Đồng Kho,SME,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đồng Kho,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Gia Huynh,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Suối Kiết,235700.00%,(BTH) Đồng Kho,TTS,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Huy Khiêm,235700.00%,(BTH) Đồng Kho,SME,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Bình,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Đức Phú,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Gia An,235700.00%,(BTH) Đồng Kho,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Xã Gia An,235700.00%,(BTH) Đồng Kho,TTS,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Huyện Tánh Linh,Thị trấn Lạc Tánh,235700.00%,(BTH) Đồng Kho,SME,1. 10-20kg,2
