Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
21537000,GYYDHX8M,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 2
20495000,GYY8LMGC,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,(KHO) Nha Trang
22357000,NVS842979312,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(NTH) Thuận Nam
21687000,GYYN8Y4D,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
22357000,NVS841728421,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(NTH) Thuận Nam
22425000,GYYTUBGV,Luân chuyển giao,SHOPEE,Chưa đóng kiện,0_6,(LDO) Tân Hà Lâm Hà
22357000,GYYBYETX,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(NTH) Thuận Nam
22425000,GYYUQRP4,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22357000,GYY3NKGV,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(NTH) Thuận Nam
22425000,GYYCUGL3,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
21396000,GYYT3MRU,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thắng
22425000,GYYC396M,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
21396000,GYYHLNPG,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thắng
22363000,GYYBAFR4,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(KHO) Nam Nha Trang 3
22051000,GYYDQQTH,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22363000,FHS38453419,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(KHO) Nam Nha Trang 3
22051000,GYYDFYAQ,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22312000,GYYDYY78,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
21377000,GYYNT86M,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
21377000,GYYNHDKY,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
22312000,GYYDRAPL,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
21377000,GYYNR63N,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
21377000,GYYNECLK,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
22242000,GYYDMDCY,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Bắc Gia Nghĩa
21377000,GYYD7XU3,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
