Cấp Quản Lý,Chi tiết,Loại Hàng,Time,Volume,% Gán,% GTC,% Chuyển trả,Leadtime,Sản Lượng Giao Thành Công,Sản Lượng Chuyển Trả,Sản Lượng Gán,Sản Lượng Trả,Sản Lượng Tồn,Sản Lượng Chưa Gán,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-07-09 - Thứ 5,31,1,0.5484,0,6.53,17.0004,0,31,0,13.9996,0,0,0.4516,31,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-06-23 - Thứ 3,31,0.9355,0.5806,0.0323,6.94,17.9986,1.0013,29.0005,1.0013,12.0001,1.9995,0.0645,0.3871,31,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-07-17 - Thứ 6,33,1,0.6667,0.0303,7.68,22.0011,0.9999,33,0.9999,9.999,0,0,0.303,33,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-06-26 - Thứ 6,33,1,0.6364,0.0909,8.62,21.0012,2.9997,33,2.9997,8.9991,0,0,0.2727,33,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-07-04 - Thứ 7,34,0.8235,0.5,0,7.18,17,0,27.999,0,17,6.001,0.1765,0.5,34,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-06-21 - Chủ Nhật,35,0.8,0.5429,0.0286,9.42,19.0015,1.001,28,1.001,14.9975,7,0.2,0.4285,35,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-07-08 - Thứ 4,35,1,0.8286,0.0286,6.38,29.001,1.001,35,1.001,4.998,0,0,0.1428,35,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-07-05 - Chủ Nhật,35,0.7714,0.5143,0,6.44,18.0005,0,26.999,0,16.9995,8.001,0.2286,0.4857,35,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-07-02 - Thứ 5,38,1,0.4211,0.0526,7.38,16.0018,1.9988,38,1.9988,19.9994,0,0,0.5263,38,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-06-27 - Thứ 7,39,1,0.5128,0.0256,6.8,19.9992,0.9984,39,0.9984,18.0024,0,0,0.4616,39,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-06-28 - Chủ Nhật,40,0.825,0.475,0.025,8.89,19,1,33,1,20,7,0.175,0.5,40,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-06-20 - Thứ 7,41,0.8293,0.6341,0.0244,7.38,25.9981,1.0004,34.0013,1.0004,14.0015,6.9987,0.1707,0.3415,41,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 1,2026-07-11 - Thứ 7,44,1,0.5455,0,9.17,24.002,0,44,0,19.998,0,0,0.4545,44,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Mới Ca 2,2026-07-03 - Thứ 6,1,1,0,0,0,0,0,1,0,1,0,0,1,1,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-11 - Thứ 7,10,1,0.3,0,40,3,0,10,0,7,0,0,0.7,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-07 - Thứ 3,10,1,0.3,0,45.67,3,0,10,0,7,0,0,0.7,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-25 - Thứ 5,11,1,0.5455,0,38.17,6.0005,0,11,0,4.9995,0,0,0.4545,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-09 - Thứ 5,11,1,0.2727,0.2727,50.67,2.9997,2.9997,11,2.9997,5.0006,0,0,0.4546,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-20 - Thứ 7,12,0.75,0.3333,0,39.25,3.9996,0,9,0,8.0004,3,0.25,0.6667,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-27 - Thứ 7,12,1,0.75,0.0833,41.89,9,0.9996,12,0.9996,2.0004,0,0,0.1667,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-14 - Thứ 3,13,1,0.2308,0.1538,37.67,3.0004,1.9994,13,1.9994,8.0002,0,0,0.6154,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-26 - Thứ 6,15,1,0.5333,0.0667,49.25,7.9995,1.0005,15,1.0005,6,0,0,0.4,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-15 - Thứ 4,18,0.7222,0.1667,0,46.67,3.0006,0,12.9996,0,14.9994,5.0004,0.2778,0.8333,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-13 - Thứ 2,19,1,0.5789,0.0526,63.55,10.9991,0.9994,19,0.9994,7.0015,0,0,0.3685,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-10 - Thứ 6,19,1,0.6842,0.0526,39.46,12.9998,0.9994,19,0.9994,5.0008,0,0,0.2632,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-30 - Thứ 3,19,1,0.3684,0.1053,51.71,6.9996,2.0007,19,2.0007,9.9997,0,0,0.5263,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-28 - Chủ Nhật,20,0.9,0.65,0,31.77,13,0,18,0,7,2,0.1,0.35,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-21 - Chủ Nhật,21,0.7619,0.3333,0.0476,39.43,6.9993,0.9996,15.9999,0.9996,13.0011,5.0001,0.2381,0.6191,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-17 - Thứ 6,22,0.9545,0.5455,0.0455,66,12.001,1.001,20.999,1.001,8.998,1.001,0.0455,0.409,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-07-01 - Thứ 4,22,1,0.4545,0.0455,44.1,9.999,1.001,22,1.001,11,0,0,0.5,0,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Trường Xuân,Hàng Tồn,2026-06-23 - Thứ 3,22,0.8182,0.2273,0.1364,45.4,5.0006,3.0008,18.0004,3.0008,13.9986,3.9996,0.1818,0.6363,0,Đắk Nông,NTB,AM Nhung
