Cấp Quản Lý,Chi tiết,Loại Hàng,Time,Volume,% Gán,% GTC,Sản Lượng Giao Thành Công,Sản Lượng Tồn,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,AM,Unnamed: 13,Cấp Quản Lý.1,Chi tiết.1,Loại Hàng.1,Time.1,Volume.1,% Gán.1,% GTC.1,Sản Lượng Giao Thành Công.1,Sản Lượng Tồn.1,% Chưa Gán.1,%Tồn.1,Hàng Mới Về Trong Ngày.1,AM.1,Unnamed: 27,Cấp Quản Lý.2,Chi tiết.2,Loại Hàng.2,Time.2,Volume.2,% Gán.2,% GTC.2,Sản Lượng Giao Thành Công.2,Sản Lượng Tồn.2,% Chưa Gán.2,%Tồn.2,Hàng Mới Về Trong Ngày.2,AM.2
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-09-12 - Thứ 7,305,100.00%,88.85%,271,34,0.00%,11.15%,305,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 2,2026-09-12 - Thứ 7,274,85.04%,68.98%,189,84,14.96%,30.66%,274,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-09-12 - Thứ 7,181,100.00%,55.25%,100,70,0.00%,38.67%,0,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,387,99.74%,87.60%,339,44,0.26%,11.37%,387,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,211,81.99%,69.67%,147,62,18.01%,29.38%,211,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-09-13 - Chủ Nhật,166,98.80%,57.83%,96,60,1.20%,36.15%,0,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-09-14 - Thứ 2,406,100.00%,84.98%,345,54,0.00%,13.30%,406,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 2,2026-09-14 - Thứ 2,224,77.68%,59.82%,134,87,22.32%,38.84%,224,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-09-14 - Thứ 2,152,98.68%,63.16%,96,42,1.32%,27.63%,0,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-09-15 - Thứ 3,273,99.63%,89.74%,245,24,0.37%,8.79%,273,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 2,2026-09-15 - Thứ 3,350,81.14%,66.29%,232,117,18.86%,33.42%,350,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-09-15 - Thứ 3,184,98.37%,57.61%,106,74,1.63%,40.22%,0,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-09-16 - Thứ 4,267,99.63%,88.01%,235,28,0.37%,10.49%,267,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 2,2026-09-16 - Thứ 4,317,76.97%,56.78%,180,135,23.03%,42.59%,317,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-09-16 - Thứ 4,202,100.00%,61.39%,124,71,0.00%,35.14%,0,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-09-17 - Thứ 5,243,100.00%,89.30%,217,25,0.00%,10.29%,243,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 2,2026-09-17 - Thứ 5,182,71.43%,60.99%,111,71,28.57%,39.01%,182,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-09-17 - Thứ 5,220,100.00%,70.91%,156,51,0.00%,23.18%,0,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-09-18 - Thứ 6,392,100.00%,88.27%,346,44,0.00%,11.22%,392,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 2,2026-09-18 - Thứ 6,306,81.37%,68.95%,211,92,18.63%,30.07%,306,AM Khánh,,NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-09-18 - Thứ 6,138,98.55%,69.57%,96,34,1.45%,24.63%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-09-12 - Thứ 7,579,99.65%,87.05%,504,71,0.35%,12.26%,579,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 2,2026-09-12 - Thứ 7,330,57.27%,51.21%,169,159,42.73%,48.18%,330,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-09-12 - Thứ 7,336,98.81%,61.61%,207,116,1.19%,34.52%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,375,91.20%,78.40%,294,80,8.80%,21.33%,375,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,224,32.59%,28.13%,63,161,67.41%,71.87%,224,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-09-13 - Chủ Nhật,314,99.68%,62.42%,196,103,0.32%,32.80%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-09-14 - Thứ 2,542,99.45%,86.90%,471,65,0.55%,11.99%,542,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 2,2026-09-14 - Thứ 2,174,54.02%,45.40%,79,92,45.98%,52.88%,174,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-09-14 - Thứ 2,328,99.39%,73.48%,241,76,0.61%,23.17%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-09-15 - Thứ 3,378,100.00%,87.04%,329,46,0.00%,12.17%,378,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 2,2026-09-15 - Thứ 3,342,62.57%,52.63%,180,161,37.43%,47.08%,342,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-09-15 - Thứ 3,215,98.60%,50.70%,109,86,1.40%,40.00%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-09-16 - Thứ 4,364,99.73%,82.97%,302,60,0.27%,16.48%,364,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 2,2026-09-16 - Thứ 4,422,53.32%,44.31%,187,231,46.68%,54.74%,422,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-09-16 - Thứ 4,274,100.00%,59.12%,162,98,0.00%,35.77%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-09-17 - Thứ 5,397,99.24%,81.11%,322,68,0.76%,17.13%,397,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 2,2026-09-17 - Thứ 5,210,43.33%,37.62%,79,131,56.67%,62.38%,210,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-09-17 - Thứ 5,369,99.73%,64.77%,239,115,0.27%,31.16%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-09-18 - Thứ 6,409,99.76%,83.86%,343,63,0.24%,15.41%,409,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 2,2026-09-18 - Thứ 6,360,50.83%,41.94%,151,206,49.17%,57.23%,360,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-09-18 - Thứ 6,289,98.96%,61.94%,179,87,1.04%,30.10%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-09-12 - Thứ 7,630,99.52%,81.43%,513,110,0.48%,17.46%,630,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 2,2026-09-12 - Thứ 7,312,43.27%,32.69%,102,209,56.73%,66.99%,312,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Tồn,2026-09-12 - Thứ 7,518,98.07%,63.51%,329,168,1.93%,32.44%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,595,98.82%,78.82%,469,123,1.18%,20.68%,595,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,290,45.17%,37.93%,110,180,54.83%,62.07%,290,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Tồn,2026-09-13 - Chủ Nhật,460,98.70%,65.22%,300,140,1.30%,30.43%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-09-14 - Thứ 2,612,99.35%,82.52%,505,98,0.65%,16.01%,612,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 2,2026-09-14 - Thứ 2,327,51.99%,43.43%,142,183,48.01%,55.96%,327,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Tồn,2026-09-14 - Thứ 2,437,97.48%,62.93%,275,142,2.52%,32.49%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-09-15 - Thứ 3,478,98.33%,72.59%,347,128,1.67%,26.78%,478,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 2,2026-09-15 - Thứ 3,507,39.45%,27.61%,140,365,60.55%,72.00%,507,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Tồn,2026-09-15 - Thứ 3,391,98.98%,55.50%,217,154,1.02%,39.38%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-09-16 - Thứ 4,406,99.75%,81.28%,330,73,0.25%,17.98%,406,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 2,2026-09-16 - Thứ 4,458,33.84%,28.60%,131,325,66.16%,70.96%,458,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Tồn,2026-09-16 - Thứ 4,640,99.38%,66.72%,427,196,0.62%,30.62%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-09-17 - Thứ 5,450,99.78%,78.44%,353,93,0.22%,20.67%,450,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 2,2026-09-17 - Thứ 5,223,46.19%,35.87%,80,143,53.81%,64.13%,223,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Tồn,2026-09-17 - Thứ 5,550,99.09%,65.09%,358,180,0.91%,32.73%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-09-18 - Thứ 6,592,99.66%,76.52%,453,134,0.34%,22.64%,592,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 2,2026-09-18 - Thứ 6,397,47.36%,39.55%,157,240,52.64%,60.45%,397,AM Nhựt,,NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Tồn,2026-09-18 - Thứ 6,413,98.79%,61.26%,253,145,1.21%,35.11%,0,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 1,2026-09-12 - Thứ 7,289,100.00%,83.04%,240,43,0.00%,14.88%,289,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 2,2026-09-12 - Thứ 7,133,79.70%,66.17%,88,45,20.30%,33.83%,133,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Tồn,2026-09-12 - Thứ 7,156,97.44%,62.82%,98,50,2.56%,32.05%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,241,80.91%,66.39%,160,79,19.09%,32.78%,241,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,128,74.22%,62.50%,80,48,25.78%,37.50%,128,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Tồn,2026-09-13 - Chủ Nhật,124,70.16%,33.06%,41,74,29.84%,59.68%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 1,2026-09-14 - Thứ 2,243,100.00%,86.83%,211,30,0.00%,12.35%,243,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 2,2026-09-14 - Thứ 2,118,83.05%,73.73%,87,31,16.95%,26.27%,118,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Tồn,2026-09-14 - Thứ 2,200,97.00%,69.50%,139,48,3.00%,24.00%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 1,2026-09-15 - Thứ 3,238,99.58%,86.55%,206,31,0.42%,13.03%,238,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 2,2026-09-15 - Thứ 3,192,80.73%,57.29%,110,80,19.27%,41.67%,192,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Tồn,2026-09-15 - Thứ 3,106,95.28%,47.17%,50,50,4.72%,47.17%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 1,2026-09-16 - Thứ 4,124,100.00%,87.90%,109,14,0.00%,11.29%,124,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 2,2026-09-16 - Thứ 4,205,85.85%,61.95%,127,78,14.15%,38.05%,205,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Tồn,2026-09-16 - Thứ 4,147,96.60%,53.06%,78,61,3.40%,41.50%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 1,2026-09-17 - Thứ 5,173,98.84%,85.55%,148,24,1.16%,13.87%,173,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 2,2026-09-17 - Thứ 5,146,83.56%,71.92%,105,39,16.44%,26.71%,146,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Tồn,2026-09-17 - Thứ 5,142,95.77%,57.04%,81,51,4.23%,35.92%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 1,2026-09-18 - Thứ 6,202,100.00%,86.14%,174,28,0.00%,13.86%,202,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Mới Ca 2,2026-09-18 - Thứ 6,150,60.00%,47.33%,71,79,40.00%,52.67%,150,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Thuận Nam,Hàng Tồn,2026-09-18 - Thứ 6,103,94.17%,49.51%,51,45,5.83%,43.69%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 1,2026-09-12 - Thứ 7,852,98.83%,86.85%,740,101,1.17%,11.86%,852,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 2,2026-09-12 - Thứ 7,431,82.13%,72.85%,314,111,17.87%,25.76%,431,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Tồn,2026-09-12 - Thứ 7,302,97.35%,47.35%,143,133,2.65%,44.04%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,600,98.50%,83.83%,503,93,1.50%,15.50%,600,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,345,80.87%,70.14%,242,102,19.13%,29.57%,345,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Tồn,2026-09-13 - Chủ Nhật,286,96.50%,49.30%,141,124,3.50%,43.36%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 1,2026-09-14 - Thứ 2,590,98.98%,84.24%,497,86,1.02%,14.57%,590,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 2,2026-09-14 - Thứ 2,310,84.19%,73.23%,227,80,15.81%,25.80%,310,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Tồn,2026-09-14 - Thứ 2,301,97.67%,55.48%,167,107,2.33%,35.55%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 1,2026-09-15 - Thứ 3,525,100.00%,87.43%,459,60,0.00%,11.43%,525,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 2,2026-09-15 - Thứ 3,526,88.97%,72.81%,383,138,11.03%,26.24%,526,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Tồn,2026-09-15 - Thứ 3,244,98.36%,46.72%,114,113,1.64%,46.31%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 1,2026-09-16 - Thứ 4,402,99.50%,89.80%,361,39,0.50%,9.70%,402,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 2,2026-09-16 - Thứ 4,613,89.40%,77.49%,475,131,10.60%,21.37%,613,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Tồn,2026-09-16 - Thứ 4,284,96.83%,48.24%,137,137,3.17%,48.24%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 1,2026-09-17 - Thứ 5,437,99.77%,85.58%,374,57,0.23%,13.05%,437,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 2,2026-09-17 - Thứ 5,400,89.50%,78.25%,313,85,10.50%,21.25%,400,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Tồn,2026-09-17 - Thứ 5,268,97.01%,53.36%,143,110,2.99%,41.04%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 1,2026-09-18 - Thứ 6,693,98.99%,85.71%,594,97,1.01%,14.00%,693,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Mới Ca 2,2026-09-18 - Thứ 6,471,80.89%,68.79%,324,143,19.11%,30.36%,471,AM Khánh,,NTB - Bình Thuận,(BTH) Hàm Thắng,Hàng Tồn,2026-09-18 - Thứ 6,226,96.90%,50.88%,115,93,3.10%,41.16%,0,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 1,2026-09-12 - Thứ 7,650,79.23%,66.62%,433,211,20.77%,32.46%,650,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 2,2026-09-12 - Thứ 7,66,13.64%,12.12%,8,58,86.36%,87.88%,66,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Tồn,2026-09-12 - Thứ 7,484,98.76%,50.00%,242,202,1.24%,41.74%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,579,94.13%,78.41%,454,118,5.87%,20.38%,579,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,84,32.14%,22.62%,19,65,67.86%,77.38%,84,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Tồn,2026-09-13 - Chủ Nhật,434,98.16%,46.08%,200,207,1.84%,47.70%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 1,2026-09-14 - Thứ 2,571,86.16%,67.25%,384,182,13.84%,31.87%,571,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 2,2026-09-14 - Thứ 2,52,44.23%,30.77%,16,36,55.77%,69.23%,52,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Tồn,2026-09-14 - Thứ 2,363,89.26%,42.98%,156,179,10.74%,49.31%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 1,2026-09-15 - Thứ 3,497,99.80%,77.87%,387,105,0.20%,21.12%,497,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 2,2026-09-15 - Thứ 3,43,46.51%,32.56%,14,29,53.49%,67.44%,43,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Tồn,2026-09-15 - Thứ 3,377,99.20%,53.32%,201,138,0.80%,36.60%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 1,2026-09-16 - Thứ 4,542,99.63%,81.55%,442,94,0.37%,17.34%,542,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 2,2026-09-16 - Thứ 4,65,44.62%,35.38%,23,41,55.38%,63.08%,65,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Tồn,2026-09-16 - Thứ 4,241,98.76%,35.27%,85,127,1.24%,52.70%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 1,2026-09-17 - Thứ 5,564,99.82%,81.91%,462,93,0.18%,16.49%,564,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 2,2026-09-17 - Thứ 5,47,59.57%,34.04%,16,31,40.43%,65.96%,47,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Tồn,2026-09-17 - Thứ 5,244,97.95%,44.26%,108,108,2.05%,44.26%,0,AM Thủy
NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 1,2026-09-18 - Thứ 6,632,99.84%,79.11%,500,121,0.16%,19.15%,632,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Mới Ca 2,2026-09-18 - Thứ 6,90,46.67%,28.89%,26,63,53.33%,70.00%,90,AM Thủy,,NTB - Bình Thuận,(BTH) Hàm Tân,Hàng Tồn,2026-09-18 - Thứ 6,198,98.99%,40.40%,80,99,1.01%,50.00%,0,AM Thủy
NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 1,2026-09-12 - Thứ 7,935,98.29%,86.52%,809,109,1.71%,11.66%,935,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 2,2026-09-12 - Thứ 7,16,81.25%,75.00%,12,4,18.75%,25.00%,16,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Tồn,2026-09-12 - Thứ 7,140,97.86%,49.29%,69,62,2.14%,44.28%,0,AM D.Long
NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,828,98.31%,82.37%,682,130,1.69%,15.70%,828,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,30,83.33%,80.00%,24,6,16.67%,20.00%,30,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Tồn,2026-09-13 - Chủ Nhật,139,95.68%,41.01%,57,67,4.32%,48.20%,0,AM D.Long
NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 1,2026-09-14 - Thứ 2,741,97.30%,86.50%,641,88,2.70%,11.88%,741,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 2,2026-09-14 - Thứ 2,21,95.24%,95.24%,20,1,4.76%,4.76%,21,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Tồn,2026-09-14 - Thứ 2,172,97.09%,41.28%,71,89,2.91%,51.74%,0,AM D.Long
NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 1,2026-09-15 - Thứ 3,630,99.68%,90.00%,567,50,0.32%,7.94%,630,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 2,2026-09-15 - Thứ 3,10,90.00%,90.00%,9,1,10.00%,10.00%,10,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Tồn,2026-09-15 - Thứ 3,177,98.31%,51.41%,91,73,1.69%,41.25%,0,AM D.Long
NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 1,2026-09-16 - Thứ 4,743,99.46%,86.41%,642,90,0.54%,12.11%,743,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 2,2026-09-16 - Thứ 4,24,66.67%,62.50%,15,9,33.33%,37.50%,24,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Tồn,2026-09-16 - Thứ 4,100,96.00%,32.00%,32,59,4.00%,59.00%,0,AM D.Long
NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 1,2026-09-17 - Thứ 5,791,99.24%,88.50%,700,76,0.76%,9.60%,791,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 2,2026-09-17 - Thứ 5,19,89.47%,89.47%,17,2,10.53%,10.53%,19,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Tồn,2026-09-17 - Thứ 5,119,97.48%,37.82%,45,62,2.52%,52.10%,0,AM D.Long
NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 1,2026-09-18 - Thứ 6,785,98.09%,88.66%,696,75,1.91%,9.56%,785,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Mới Ca 2,2026-09-18 - Thứ 6,17,82.35%,76.47%,13,4,17.65%,23.53%,17,AM D.Long,,NTB - Bình Thuận,(BTH) Liên Hương,Hàng Tồn,2026-09-18 - Thứ 6,125,97.60%,36.80%,46,75,2.40%,60.00%,0,AM D.Long
NTB - Bình Thuận,(BTH) Lương Sơn,Hàng Mới Ca 1,2026-09-12 - Thứ 7,366,99.45%,81.69%,299,64,0.55%,17.49%,366,AM Khánh,,NTB - Bình Thuận,(BTH) Lương Sơn,Hàng Mới Ca 2,2026-09-12 - Thứ 7,41,4.88%,2.44%,1,40,95.12%,97.56%,41,AM Khánh,,NTB - Bình Thuận,(BTH) Lương Sơn,Hàng Tồn,2026-09-12 - Thứ 7,168,98.21%,54.76%,92,66,1.79%,39.29%,0,AM Khánh
NTB - Bình Thuận,(BTH) Lương Sơn,Hàng Mới Ca 1,2026-09-13 - Chủ Nhật,368,100.00%,82.07%,302,64,0.00%,17.39%,368,AM Khánh,,NTB - Bình Thuận,(BTH) Lương Sơn,Hàng Mới Ca 2,2026-09-13 - Chủ Nhật,72,16.67%,16.67%,12,60,83.33%,83.33%,72,AM Khánh,,NTB - Bình Thuận,(BTH) Lương Sơn,Hàng Tồn,2026-09-13 - Chủ Nhật,157,97.45%,61.78%,97,53,2.55%,33.76%,0,AM Khánh
