BÁO CÁO %FD HUB (N-1) – VÙNG NTB,,,,,,,,,,Khác,,Shopee,,SHOPEE Bulky,,SME,,TTS,,TTS Bulky,,Grand Total
,,,,,,,,,Vùng,Tổng đơn có gán giao,%Trả hàng,Tổng đơn có gán giao,%Trả hàng,Tổng đơn có gán giao,%Trả hàng,Tổng đơn có gán giao,%Trả hàng,Tổng đơn có gán giao,%Trả hàng,Tổng đơn có gán giao,%Trả hàng,Tổng đơn có gán giao,%Trả hàng
1. BẢNG TỔNG QUAN VÙNG NTB (N-1),,,,,,,,,NTB,68,5.88%,"14,505",4.88%,"4,268",4.45%,"19,575",9.76%,"9,875",4.78%,211,10.90%,"48,502",6.82%
Chỉ Số Tổng Quan,Giá Trị,Ghi Chú
Tổng Đơn Có Gán Giao (Total),"48,871",Tổng đơn từ các bưu cục có quản lý AM
Tổng Đơn Return (Chuyển Trả),"3,405",Tổng đơn bị trả về
%FD Tổng Vùng NTB,6.97%,Tỷ lệ đơn trả = Đơn return / Total đơn
Số Bưu Cục Quản Lý,84,Tổng số 18 AM phụ trách

2. TOP 10 BƯU CỤC CÓ %FD CAO NHẤT (N-1)
STT,Tên Bưu Cục,AM Phụ Trách,Total Đơn,Đơn Return,%FD (Return),Tỷ Trọng Return
39,(KHO) Cam Lâm 2,AM Long,666,47,7.1%,1.38%
40,(KHO) Bắc Nha Trang,AM Thư,"1,548",108,7.0%,3.17%
41,(KHO) Diên Khánh 2,AM Phi,717,50,7.0%,1.47%
42,(BTH) Hàm Thuận Nam,AM Thủy,406,28,6.9%,0.82%
43,(KHO) Nha Trang,AM Duy,657,45,6.9%,1.32%
44,(LDO) Đam Rông 3,AM Chi,369,25,6.8%,0.73%
45,(NTH) Bảo An,AM D.Long,548,37,6.8%,1.09%
46,(BTH) Đức Linh,AM Nhựt,"1,128",74,6.6%,2.17%
47,(KHO) Ninh Hòa 2,AM Phi,932,59,6.3%,1.73%
48,(LDO) Ninh Gia,AM Thơ,366,23,6.3%,0.68%
49,(LDO) Cát Tiên,AM Vũ,416,26,6.3%,0.76%
50,(KHO) Nam Nha Trang 3,AM Thư,468,29,6.2%,0.85%
51,(DNO) Cư Jút,AM Nhung,630,39,6.2%,1.15%
52,(LDO) Xuân Hương - Đà Lạt,AM Trường,848,51,6.0%,1.50%
53,(KHO) Tu Bông,AM Duy,541,32,5.9%,0.94%
54,(LDO) Đạ Tẻh,AM Vũ,416,24,5.8%,0.70%
55,(LDO) B'Lao,AM Nga,712,41,5.8%,1.20%
56,(DNO) Krông Nô,AM Nhung,627,35,5.6%,1.03%
57,(DNO) Đức Lập,AM Nhung,977,54,5.5%,1.59%
58,(DNO) Quảng Sơn,AM Nhung,367,20,5.5%,0.59%
59,(BTH) Lương Sơn,AM Khánh,394,21,5.3%,0.62%
60,(BTH) Hàm Liêm,AM Nhựt,679,36,5.3%,1.06%
61,(BTH) Phan Rí Cửa,AM D.Long,504,26,5.2%,0.76%
62,(BTH) Liên Hương,AM D.Long,747,38,5.1%,1.12%
63,(KHO) Khánh Sơn,AM Duy,303,15,5.0%,0.44%
64,(BTH) Tuyên Quang,AM Nhựt,"1,053",51,4.8%,1.50%
65,(LDO) Bảo Lâm 1,AM Nga,458,22,4.8%,0.65%
66,(BTH) Mũi Né,AM Khánh,588,28,4.8%,0.82%
67,(KHO) Diên Thọ,AM Phi,383,18,4.7%,0.53%
68,(BTH) Tân Hải,AM Thủy,544,25,4.6%,0.73%
69,(BTH) Phước Hội,AM Thủy,"1,114",49,4.4%,1.44%
70,(LDO) Lang Biang - Đà Lạt 2,AM Trường,"1,150",50,4.4%,1.47%
71,(NTH) Ninh Chử,AM D.Long,814,35,4.3%,1.03%
72,(LDO) Đạ Huoai,AM Vũ,485,20,4.1%,0.59%
73,(BTH) Hàm Thắng,AM Khánh,978,40,4.1%,1.17%
74,(DNO) Bắc Gia Nghĩa,AM Duân,394,16,4.1%,0.47%
75,(LDO) Đinh Văn Lâm Hà,AM Chi,783,30,3.8%,0.88%
76,(BTH) Hàm Thuận,AM Nhựt,897,33,3.7%,0.97%
77,(LDO) 1 Bảo Lộc,AM Nga,621,22,3.5%,0.65%
78,(BTH) Phú Thủy,AM Khánh,"1,121",39,3.5%,1.15%
79,(KHO) Nam Nha Trang 2,AM Thư,554,19,3.4%,0.56%
80,(LDO) Hiệp Thạnh,AM Thơ,387,13,3.4%,0.38%
81,(BTH) Phú Quý,AM Khánh,782,26,3.3%,0.76%
82,(LDO) Nam Ban Lâm Hà,AM Chi,401,13,3.2%,0.38%
83,(BTH) Bắc Bình,AM Khánh,698,22,3.2%,0.65%
84,(DNO) Nhân Cơ,AM Phước,295,5,1.7%,0.15%
